phrase_number,composition_number,start_measure,cadence_role_cantz,cadence_alter,cadence_final_tone,stop_measure,cadence_role_tenz,cadence_kind,cadence_final_tone_before,cadence_final_tone_after,cadence_kind_before,cadence_kind_after,final_cadence
DC0513.2: Ni en l’esprit avoir le souvenir,DC0513: Je ne veulx plus de mon malheur me plaindre,11,S,,A,12,T,Authentic,C,C+C,Authentic,Authentic+Authentic,E
"DC0513.1: Je ne veulx plus de mon malheur me plaindre,",DC0513: Je ne veulx plus de mon malheur me plaindre,6,T,"Displaced, Inverted, Evaded",C,7,Ct,Authentic,E,A+A,Phrygian,Authentic+Authentic,E
"DC0512.2: Je suis creté comme une fraize,",DC0512: Quand je voy ma mignonne rire,4,S,Evaded,D,5,T,Authentic,None,G,None,Plagal,D
DC0511.10: Cela se garde pour l’ami.,DC0511: Ce disoit une jeune dame,40,S,,G,42,T,Authentic,A,None,Phrygian,None,G
DC0511.9: Je ny leverai ma chemise,DC0511: Ce disoit une jeune dame,35,S,Displaced,A,36,B,Phrygian,D+D,G+G,Authentic+Authentic,Authentic+Authentic,G
"DC0511.8: Pas ny voyez cler a demy,",DC0511: Ce disoit une jeune dame,30,S,,D,31,T,Authentic,G+G,A,Authentic+Authentic,Phrygian,G
"DC0511.7: Quand est de moy je suis promise,",DC0511: Ce disoit une jeune dame,25,Ct,"Displaced, Inverted, Evaded",G,27,S,Authentic,B-flat+B-flat,D+D,Authentic+Authentic,Authentic+Authentic,G
"DC0511.6: Mal vous siet ceste mignotise,",DC0511: Ce disoit une jeune dame,21,S,,B-flat,22,T,Authentic,D,G+G,Phrygian,Authentic+Authentic,G
DC0510.8: Si comme moy n’est patient.,"DC0510: J'endure tout, c'est bien raison",35,S,Evaded,G,36,T,Authentic,D,None,Plagal,None,G
"DC0510.7: Aime aultant cest œil luy donne,","DC0510: J'endure tout, c'est bien raison",30,None,,D,30,None,Plagal,D+D,D,Authentic+Authentic,Plagal,G
"DC0510.6: Qu’ainsi die a bon escient,","DC0510: J'endure tout, c'est bien raison",25,S,,D,27,T,Authentic,D+D+D,D+D,Plagal+Plagal+Plagal,Plagal+Plagal,G
"DC0510.5: Et si aulcun est qui s’estonne,","DC0510: J'endure tout, c'est bien raison",24,None,,D,24,None,Plagal,D+D+D,D+D,Plagal+Plagal+Plagal,Plagal+Authentic,G
"DC0510.2: Puis qu’ainsi plaist à ma mignonne,","DC0510: J'endure tout, c'est bien raison",9,T,"Inverted, Evaded, Displaced",D,10,Ct,Authentic,D+D,D+D,Authentic+Authentic,Plagal+Plagal,G
"DC0510.1: J’endure tout cest bien raison,","DC0510: J'endure tout, c'est bien raison",2,S,,D,4,T,Authentic,None,D+D,None,Authentic+Authentic,G
DC0509.8: J’ay plume et encre pour escripre.,"DC0509: Ça ces beaux yeux, ça ceste bouche",32,S,,G,33,T,Authentic,A+B-flat+A,None,Phrygian+Phrygian+Phrygian,None,G
DC0509.6: Ouvrir ma bouche pour le dire:,"DC0509: Ça ces beaux yeux, ça ceste bouche",25,S,,B-flat,26,T,Authentic,D+D,F+A+B-flat+A,Authentic+Authentic,Authentic+Phrygian+Phrygian+Phrygian,G
DC0509.5: Pourquoi faire je n’oserois,"DC0509: Ça ces beaux yeux, ça ceste bouche",22,S,Evaded,D,23,T,Authentic,G,B-flat+B-flat,Authentic,Authentic+Authentic,G
"DC0509.2: Que je les baise mille fois,","DC0509: Ça ces beaux yeux, ça ceste bouche",11,S,,G,12,T,Authentic,D+D+D,D,Authentic+Authentic+Authentic,Plagal,G
DC0509.1: Ca ces beaulx yeulx ça ceste bouche,"DC0509: Ça ces beaux yeux, ça ceste bouche",4,S,,D,6,T,Authentic,None,G+G,None,Authentic+Authentic,G
DC0508.8: Ou aultrement il vauldroit mieulx se taire:,DC0508: Musiciens qui chantez à plaisir,50,S,,G,52,T,Authentic,G+G,D+D+D,CadInCad+Authentic,Authentic+Authentic+Phrygian,G
"DC0508.6: Qui prent plaisir à son chant gratieux,",DC0508: Musiciens qui chantez à plaisir,37,S,,G,39,T,CadInCad,D+D+D,G,Authentic+Authentic+CadInCad,Authentic,G
"DC0508.5: Accordez vous ainsi que la linotte,",DC0508: Musiciens qui chantez à plaisir,30,S,,D,32,T,Authentic,G+G,G+G,Authentic+Authentic,CadInCad+Authentic,G
"DC0508.2: Si vous voulez faire valoir la notte,",DC0508: Musiciens qui chantez à plaisir,5,None,,D,6,None,Plagal,None,G+G,None,Authentic+Authentic,G
DC0508.10: De ne chanter si vous n’avez à boire.,DC0508: Musiciens qui chantez à plaisir,64,S,,G,65,T,Authentic,G+G,None,Authentic+Authentic,None,G
"DC0507.5: Pour en ce lieu novisse, ou clerc me rendre,","DC0507: Long temps y a, innocente pucelle",28,S,,D,29,T,Authentic,D,G,Plagal,Authentic,D
"DC0507.4: Qui au chemin m’a tourmenté souvent,","DC0507: Long temps y a, innocente pucelle",24,,,D,24,,Plagal,B-flat+B-flat+B-flat+D+D,D,Authentic+Authentic+Authentic+Plagal+Plagal,Authentic,D
"DC0507.3: En ce lieu cy sans craindre l’aspre vent,","DC0507: Long temps y a, innocente pucelle",18,S,,B-flat,19,T,Authentic,F+F,D+D+D,Plagal+Plagal,Plagal+Plagal+Plagal,D
"DC0507.2: Que je voulu conduire ta nacelle,","DC0507: Long temps y a, innocente pucelle",10,S,,G,12,T,Authentic,D+D,F+F,Authentic+Authentic,Plagal+Plagal,D
"DC0507.1: Long temps ya innocente pucelle,","DC0507: Long temps y a, innocente pucelle",5,S,,D,6,T,Authentic,None,G+G,None,Authentic+Authentic,D
DC0506.6: Car deux escuz m’avez saulvez,DC0506: Madame je vous remercie/ De m'avoir esté si rebourse,33,S,,D,34,T,Authentic,G,G+G,Authentic,CadInCad+Authentic,D
"DC0506.5: Nenni non, Pourquoy? pource,",DC0506: Madame je vous remercie/ De m'avoir esté si rebourse,27,,,D,28,,Plagal,B-flat+B-flat+B-flat,G+G,Authentic+Authentic+Authentic,Authentic+Authentic,D
"DC0506.4: Ne que tant soit peu je m’en courrouce,",DC0506: Madame je vous remercie/ De m'avoir esté si rebourse,24,S,Displaced,B-flat,25,Ct,Authentic,D+D,D+D,Authentic+Authentic,Plagal+Plagal,D
"DC0506.3: Pensez vous que je m’en soucie,",DC0506: Madame je vous remercie/ De m'avoir esté si rebourse,19,S,Displaced,D,20,Ct,Authentic,D+D+D,B-flat+B-flat+B-flat,Authentic+Authentic+Authentic,Authentic+Authentic+Authentic,D
"DC0506.1: Madame je vous remercie,",DC0506: Madame je vous remercie/ De m'avoir esté si rebourse,3,S,Displaced,D,5,Ct,Authentic,D+D,D+D+D,Authentic+Authentic,Authentic+Authentic+Authentic,D
"DC0410.8: Prest sont de choir en grand' desesperance,",DC0410: Si pour amans la lune est importune,30,None,,C,30,None,Plagal,G+G,None,Authentic+CAD NDLT,None,G
DC0408.5: Car amour n’est qu’un desir d’aspirer,DC0408: Amour se doibt figurer une rose,15,S,,B-flat,16,T,Authentic,G+G,D,Authentic+Authentic,Authentic,G
"DC0407.1: Plaisir, prouffit, honneur, advancement,","DC0407: Plaisir, prouffit, honneur, advancement",6,None,,D,6,None,Plagal,G,G+G,Authentic,Authentic+Authentic,G
"DC0603.2: N’en oys tu pas le Rossignol se plaindre,",DC0603: Or à ce jour le verd may se termine,12,None,,A,13,None,Plagal,A,A,Authentic,Authentic,D
"DC0406.8: L'hyvert je brusle, et l'æsté meurs de froid.",DC0406: D'amour me plainctz et du mal que je sens,38,S,,G,39,T,Authentic,G,None,Authentic,None,G
"DC0406.1: D'amour me plaintz, et du mal que je sentz,",DC0406: D'amour me plainctz et du mal que je sens,3,,,D,4,,Plagal,None,G,None,Authentic,G
"DC0505.7: Qui voit un mort tout vif renaistre,",DC0505: Si vous aviez comme moy faim,20,Ct,Displaced,D,21,B,Phrygian,D+D,G+G+G+G,Authentic+Authentic,Authentic+Authentic+Authentic+Authentic,D
"DC0505.6: Qu’il m’est trop grief de seul veiller,",DC0505: Si vous aviez comme moy faim,16,S,,D,17,T,Authentic,B-flat+B-flat,D,Authentic+Authentic,Phrygian,D
"DC0505.2: Vous auriez desir de repaistre,",DC0505: Si vous aviez comme moy faim,5,S,,G,7,T,Authentic,None,B-flat+B-flat,None,Authentic+Authentic,D
DC0504.8: Ce jour m’estoit plus qu’heure tost passant.,DC0504: Quand j'ay esté quinze heures avec vous,17,,,G,18,,Plagal,D,G,Authentic,Plagal,G
"DC0504.2: A vous baiser du moins cent fois pour heure,",DC0504: Quand j'ay esté quinze heures avec vous,4,S,,B-flat,5,T,Authentic,G+G+B-flat,D,Authentic+Authentic+Authentic,Authentic,G
DC0503.16: Vous ne finerez meshuy.,DC0503: Vous estes un fascheux homme,46,S,,G,47,T,Authentic,G+G,None,Authentic+Authentic,None,G
"DC0503.15: Vous estes un fascheux homme,",DC0503: Vous estes un fascheux homme,39,Ct,"Inverted, Evaded, Displaced",G,40,S,Authentic,D,G,Plagal,Authentic,G
"DC0503.9: Vous ne finerez meshuy,",DC0503: Vous estes un fascheux homme,26,,,G,27,,Plagal,G+G,D+D,Authentic+Authentic,Authentic+Authentic,G
"DC0503.6: Voulez vous cesser,",DC0503: Vous estes un fascheux homme,15,B,"Displaced, Inverted",A,15,S,Phrygian,F+F+F,B-flat,Plagal+Plagal+Plagal,Authentic,G
"DC0503.4: Finez vous, ou je crieray,",DC0503: Vous estes un fascheux homme,12,T,"Inverted, Displaced, Evaded",D,12,Ct,Authentic,G+G,D+D+F,Authentic+Authentic,Authentic+Authentic+Plagal,G
"DC0503.2: Vous ne finerez meshuy,",DC0503: Vous estes un fascheux homme,8,S,,G,9,T,Authentic,G,D+D+D+F,Authentic,Authentic+Authentic+Authentic+Plagal,G
DC0502.9: Et heureuse ma vie.,DC0502: J'ay le fruit tant désiré,27,S,,G,29,T,Authentic,B-flat,None,Plagal,None,G
"DC0502.7: Sur aultres n’ay envie,",DC0502: J'ay le fruit tant désiré,23,S,,D,24,T,Authentic,D+D,B-flat,Plagal+Plagal,Plagal,G
"DC0502.6: Pour nul bien augmenter,",DC0502: J'ay le fruit tant désiré,20,,,D,21,,Plagal,B-flat,D+D+B-flat,Authentic,Authentic+Authentic+Plagal,G
"DC0502.2: Dont me doibtz contenter,",DC0502: J'ay le fruit tant désiré,6,S,Incomplete,G,8,T,Authentic,B-flat+B-flat,G,Authentic+Authentic,Authentic,G
"DC0502.1: J’ai le fruit desiré,",DC0502: J'ay le fruit tant désiré,3,S,,B-flat,4,T,Authentic,None,G+G,None,Authentic+Authentic,G
DC0501.8: Quand l’esprit est du tout a moy.,DC0501: C'est a moy qu'en veult ce coqu,30,S,,D,31,T,Authentic,D+D,None,Authentic+Authentic,None,D
"DC0501.6: Tant qu’il vouldra aupres de soy,",DC0501: C'est a moy qu'en veult ce coqu,14,None,,A,15,None,Plagal,G+G+G+G,A,Plagal+Plagal+Plagal+Plagal,Plagal,D
DC0501.2: Car seule suis en ce boucage ,DC0501: C'est a moy qu'en veult ce coqu,5,T,"Displaced, Inverted, Evaded",D,6,Ct,Authentic,D,G,Plagal,CAD NDLT,D
"DC0403.2: Sans estre aimé, et vivre sur attente",DC0403: Prendre plaisir en aymant loyaulment,10,S,,G,12,T,Authentic,D,D,Authentic,Authentic,G
"DC0402.6: A ma priere, et n’a nul soing de moy,",DC0402: Quand suis au lict pour prendre mon repos,18,None,,D,18,None,Plagal,C+C,D,Authentic+Authentic,Authentic,G
"DC0401.6: Mais un debat au soir entre eulx s'esmeut,",DC0401: Monsieur l'Abbé et monsieur son vallet,48,S,,G,49,T,Authentic,D,G+G,Authentic,Authentic+Authentic,G
"DC0401.5: L'un boit du bon, l'aultre ne boit du pire,",DC0401: Monsieur l'Abbé et monsieur son vallet,42,S,,D,43,T,Authentic,G,D,Authentic,Authentic,G
"DC0927.7: Qu'aultre que moy, vers elle trouve grace.","DC0927: Rien plus ne quiers, ma dame me contente",28,S,None,G,29,T,Authentic,C,None,Authentic,None,G
DC0927.6: Car je n'ay peur (quelque chose qu'on face),"DC0927: Rien plus ne quiers, ma dame me contente",23,Ct,Displaced,C,24,B,Authentic,C,C+C,Authentic,CAD NDLT+Authentic,G
"DC0927.5: Et si y a un bien que vous diray,","DC0927: Rien plus ne quiers, ma dame me contente",18,S,None,C,19,T,Authentic,G+G+C,C+C+C,Authentic+Authentic+Authentic,Authentic+CAD NDLT+Authentic,G
"DC0927.2: Content je suis du bien qu'ay rencontray,","DC0927: Rien plus ne quiers, ma dame me contente",12,S,None,G,14,T,Authentic,G,C+C,Authentic,Authentic+Authentic,G
"DC0927.1: Rien plus ne quiers, madame me contente,","DC0927: Rien plus ne quiers, ma dame me contente",7,S,None,G,8,T,Authentic,G,G,Authentic,Authentic,G
"DC0926.8: Et veulx mourir en soustenant ce poinct,",DC0926: Ne vous faschez si me voyez jaloux,45,S,None,G,45,T,Authentic,C,None,Authentic,None,G
"DC0926.7: Qu'on puisse aymer, et des jaloux se rire,",DC0926: Ne vous faschez si me voyez jaloux,40,Ct,Displaced,C,40,T,Authentic,C,G,Authentic,Authentic,G
DC0926.5: Mais par ma foy hors de ma fantasie,DC0926: Ne vous faschez si me voyez jaloux,32,S,Evaded,C,32,T,Authentic,G,C,Authentic,Authentic,G
"DC0926.2: C'est d'amitié, que vient la jalouzie,",DC0926: Ne vous faschez si me voyez jaloux,13,S,,G,14,T,Authentic,C,C,Authentic,Authentic,G
"DC0926.1: Ne vous faschez si me voyez jaloux,",DC0926: Ne vous faschez si me voyez jaloux,8,S,None,C,8,T,Authentic,None,G,None,Authentic,G
"DC0925.8: De ce penser, que j'ay incessamment.",DC0925: C'est a grand tort qu'on dict que le penser,39,S,None,F,40,T,Authentic,F,None,CadInCad,None,F
"DC0925.7: Octroyez moy quelque joye certaine,",DC0925: C'est a grand tort qu'on dict que le penser,29,T,"Displaced, Inverted",C,30,Ct,Authentic,C,F,Plagal,CadInCad,F
"DC0925.6: Et à mon cœur perfaict contentement,",DC0925: C'est a grand tort qu'on dict que le penser,24,None,None,C,25,None,Plagal,F,C,Authentic,Authentic,F
"DC0925.5: O doulx penser, qui cause à aultruy peine,",DC0925: C'est a grand tort qu'on dict que le penser,20,Ct,"Displaced, Inverted, Evaded",F,21,S,Authentic,F,C,Authentic,Plagal,F
"DC0925.2: N'est que langueur d'une chose incertaine,",DC0925: C'est a grand tort qu'on dict que le penser,13,S,None,F,14,T,Authentic,F,F,Authentic,Authentic,F
"DC0925.1: C'est a grand tort qu'on dict que le penser,",DC0925: C'est a grand tort qu'on dict que le penser,8,Ct,Displaced,F,9,B,Authentic,None,F,None,Authentic,F
"DC0924.8: Car plus y pense, et plus y veult penser.",DC0924: Mon povre cueur qui sans aulcun repos,43,S,None,F,44,T,Authentic,F,None,Authentic,None,F
"DC0924.7: Considerant, que mon cœur le desire,",DC0924: Mon povre cueur qui sans aulcun repos,39,Ct,Displaced,F,40,B,Authentic,C,F,CadInCad,Authentic,F
"DC0924.6: Ne me veulx tu aultrement dispenser,",DC0924: Mon povre cueur qui sans aulcun repos,34,S,,C,35,T,CadInCad,F,F,Authentic,Authentic,F
"DC0924.5: O doulx amour, qui cause mon martyre,",DC0924: Mon povre cueur qui sans aulcun repos,30,T,"Displaced, Inverted, Evaded",F,31,Ct,Authentic,F,C,Authentic,CadInCad,F
"DC0924.4: Du souvenir, ou tousjours il aspire,",DC0924: Mon povre cueur qui sans aulcun repos,24,S,Incomplete,F,25,T,Authentic,F,F,Authentic,Authentic,F
"DC0924.2: Pour un penser incessamment souspire,",DC0924: Mon povre cueur qui sans aulcun repos,12,S,None,F,13,T,Authentic,F,F,Authentic,Authentic,F
"DC0924.1: Mon povre cœur, qui sans aulcun repos,",DC0924: Mon povre cueur qui sans aulcun repos,6,Ct,Displaced,F,7,B,Authentic,None,F,None,Authentic,F
DC0923.9: Si je ne la mettois à l’umbre.,"DC0923: En ce verd moys, temps opportun",39,S,None,F,40,T,Authentic,F,None,Authentic,None,F
"DC0923.6: De quel mectz mot, ny en quel nombre ","DC0923: En ce verd moys, temps opportun",31,T,"Displaced, Inverted, Evaded",F,32,Ct,Authentic,F,F,Authentic,Authentic,F
"DC0923.2: Pour prendre plaisir je vouldroye,","DC0923: En ce verd moys, temps opportun",11,S,None,F,12,T,Authentic,None,F,None,Authentic,F
DC0922.5: Ingrate alors peult estre te diras.,DC0922: O cruaulté logée en grant beaulté,24,S,None,F,24,T,Authentic,A,None,Plagal,None,F
"DC0922.4: Au moins un jour pense en ma loyaulté,",DC0922: O cruaulté logée en grant beaulté,17,None,None,A,18,None,Plagal,C,F,Authentic,Authentic,F
"DC0922.3: Quand ma douleur jamais ne sentiras,",DC0922: O cruaulté logée en grant beaulté,13,T,"Displaced, Inverted, Evaded",C,13,Ct,Authentic,F,A,Authentic,Plagal,F
"DC0922.2: O grand beaulté, qui logez cruaulté,",DC0922: O cruaulté logée en grant beaulté,8,S,None,F,9,T,Authentic,A,C,Plagal,Authentic,F
"DC0922.1: O Cruaulté logée en grand beaulté,",DC0922: O cruaulté logée en grant beaulté,4,None,None,A,4,None,Plagal,None,F,None,Authentic,F
"DC0921.3: Rendue c’est celle, qui trescontente",DC0921: Ayant servy soubs faveur de l'attente,22,S,None,G,22,T,Authentic,C,None,Authentic,None,G
"DC0921.2: Et poursuivy mon heur selon le temps,",DC0921: Ayant servy soubs faveur de l'attente,13,T,"Displaced, Inverted, Evaded",C,13,Ct,Authentic,C,G,Authentic,Authentic,G
"DC0921.1: Ayant servi soubz faveur de l’attente,",DC0921: Ayant servy soubs faveur de l'attente,9,S,None,C,10,T,Authentic,None,C,None,Authentic,G
"DC0920.7: En esperant devant que je trespasse,","DC0920: Dame excellente, en vertu bien apprise",29,Ct,Displaced,C,30,B,CAD NDLT,C,None,Authentic,None,C
"DC0920.6: Tient le mien cœur en amoureuse vie,","DC0920: Dame excellente, en vertu bien apprise",21,B,"Displaced, Inverted",C,22,T,Authentic,G,C,Authentic,CAD NDLT,C
"DC0920.5: Et ton maintien, qui tout aultre oultre passe,","DC0920: Dame excellente, en vertu bien apprise",16,Ct,Displaced,G,17,B,Authentic,G,C,Authentic,Authentic,C
"DC0920.2: Remplie d'honneur, et de parfaicte grace,","DC0920: Dame excellente, en vertu bien apprise",11,S,,G,12,T,Authentic,C,G,Authentic,Authentic,C
"DC0920.1: Dame excellente en vertu bien apprise,","DC0920: Dame excellente, en vertu bien apprise",7,T,Displaced,C,8,B,Authentic,None,G,None,Authentic,C
DC0919.7: Et moy la mienne aussi.,DC0919: Si j'estois mariée à mon amy,27,S,None,G,28,T,Authentic,D,None,Phrygian,None,G
"DC0919.6: Me disant sa pensée,",DC0919: Si j'estois mariée à mon amy,25,Ct,"Displaced, Evaded",D,26,B,Phrygian,G,G,Authentic,Authentic,G
"DC0919.5: Me tiendroit embrassée,",DC0919: Si j'estois mariée à mon amy,19,S,None,G,19,T,Authentic,G,D,Authentic,Phrygian,G
"DC0919.3: Aussi moy luy,",DC0919: Si j'estois mariée à mon amy,12,S,None,G,13,T,Authentic,G,G,Authentic,Authentic,G
"DC0919.2: Qui tant m’a desirée,",DC0919: Si j'estois mariée à mon amy,11,S,Evaded,G,11,T,Authentic,None,G,None,Authentic,G
"DC0918.7: Plus dangereux, et plus mortelz (helas)",DC0918: L'aveuglé Dieu qui partout vole nud,30,S,Displaced,B-flat,32,B,Authentic,C+B-flat,None,Authentic+Authentic,None,B-flat
"DC0918.6: Dont il a faict, et tendu unze laqs,",DC0918: L'aveuglé Dieu qui partout vole nud,25,T,"Inverted, Evaded",C,26,S,Authentic,G,B-flat+B-flat,Authentic,Authentic+Authentic,B-flat
"DC0918.5: Et en a pris la corde sans mercy,",DC0918: L'aveuglé Dieu qui partout vole nud,18,S,,G,19,T,Authentic,F,C,Authentic,Authentic,B-flat
"DC0918.2: A laissé l’arc, et les fleches aussi,",DC0918: L'aveuglé Dieu qui partout vole nud,8,,,A,8,,Plagal,F,F,Authentic,Authentic,B-flat
"DC0918.1: L’aveuglé Dieu, qui par tout vole nud,",DC0918: L'aveuglé Dieu qui partout vole nud,5,S,"Evaded, Doubtful",F,6,None,Authentic,F,A,Authentic,Plagal,B-flat
"DC0917.6: Ma grand douleur, et empire à la mort,",DC0917: Amour voyant le travail soucieux,27,T,"Displaced, Inverted, Evaded",D,28,Ct,Authentic,B-flat,None,Authentic,None,D
DC0917.5: O quel abuse c'est lors que plus s'advance,DC0917: Amour voyant le travail soucieux,21,S,,B-flat,22,T,Authentic,G,D,Authentic,Authentic,D
"DC0917.2: Que je souffrois par ta seule presence,",DC0917: Amour voyant le travail soucieux,13,S,None,G,14,T,Authentic,None,B-flat,None,Authentic,D
DC0916.12: Croist la violette.,DC0916: Au joly bocquet croist la violette,30,S,None,G,31,T,Authentic,G,None,Authentic,None,G
DC0916.9: Tira un pacquet ,DC0916: Au joly bocquet croist la violette,22,S,None,G,22,T,Authentic,G+A,G,Plagal+Phrygian,Authentic,G
"DC0916.8: Belle, et joliette",DC0916: Au joly bocquet croist la violette,21,B,"Displaced, Inverted",A,21,S,Phrygian,D+G,G,Authentic+Plagal,Authentic,G
"DC0916.7: Lors de sa malette,",DC0916: Au joly bocquet croist la violette,20,None,None,G,20,None,Plagal,D,A+G,Authentic,Phrygian+Authentic,G
"DC0916.4: Dire à Michelette,",DC0916: Au joly bocquet croist la violette,16,T,"Displaced, Inverted, Evaded",D,16,Ct,Authentic,G,G+A,Authentic,Plagal+Phrygian,G
"DC0916.2: Croist la violette,",DC0916: Au joly bocquet croist la violette,8,S,None,G,9,T,Authentic,None,D,None,Authentic,G
DC0915.10: Ou que rigueur par toy soit adoulcie.,DC0915: Chasse rigueur loing de toy qui es belle,35,S,None,F,36,T,Authentic,C,None,Authentic,None,F
"DC0915.9: Changer ce port, et grace tant aymable,",DC0915: Chasse rigueur loing de toy qui es belle,29,T,"Displaced, Inverted, Evaded",C,30,Ct,Authentic,C,F,Authentic,Authentic,F
DC0915.8: Or fault il donc (ou que faincte on te die),DC0915: Chasse rigueur loing de toy qui es belle,25,T,"Displaced, Inverted",C,26,Ct,Authentic,C+C,C,Authentic+Authentic,Authentic,F
"DC0915.7: A ton visage est pitié convenable,",DC0915: Chasse rigueur loing de toy qui es belle,21,Ct,Displaced,C,22,T,Authentic,C,C+C,Authentic,Authentic+Authentic,F
"DC0915.6: C'est œil tant doulx, il te dict pitoyable,",DC0915: Chasse rigueur loing de toy qui es belle,16,S,None,C,17,T,Authentic,A,C,Phrygian,Authentic,F
"DC0915.2: Bien n'est seant avec une beaulté,",DC0915: Chasse rigueur loing de toy qui es belle,7,S,,A,8,T,Phrygian,A,A,Phrygian,Phrygian,F
"DC0915.1: Chasse rigueur loing de toy, qui es belle,",DC0915: Chasse rigueur loing de toy qui es belle,4,Ct,Displaced,A,5,B,Phrygian,None,A+A,None,Phrygian+Phrygian,F
DC0914.8: Mort me sera doulce venant de toy.,"DC0914: Las, si tu as plaisir en mon ennuy",36,S,None,A,37,T,Authentic,E,None,Plagal,None,A
